id,user_login,quality_grade,license,url,image_url,taxon_id
1554818,nature_girl_mj,casual,CC-BY-NC,http://www.inaturalist.org/observations/1554818,https://inaturalist-open-data.s3.amazonaws.com/photos/1925701/medium.jpg,
1945020,pensionerhenk,casual,CC-BY-NC,http://www.inaturalist.org/observations/1945020,https://inaturalist-open-data.s3.amazonaws.com/photos/2382401/medium.jpg,
3731965,melanie10,casual,,http://www.inaturalist.org/observations/3731965,http://static.inaturalist.org/photos/4335746/medium.jpeg,
4378927,darryl6,casual,,http://www.inaturalist.org/observations/4378927,http://static.inaturalist.org/photos/5252952/medium.jpeg,
4379007,darryl6,casual,,http://www.inaturalist.org/observations/4379007,http://static.inaturalist.org/photos/5252979/medium.jpeg,
4379023,darryl6,casual,,http://www.inaturalist.org/observations/4379023,http://static.inaturalist.org/photos/5252993/medium.jpeg,
4548690,anapaulaortega,casual,,http://conabio.inaturalist.org/observations/4548690,http://static.inaturalist.org/photos/5503142/medium.jpg,
4548701,anapaulaortega,casual,,http://conabio.inaturalist.org/observations/4548701,http://static.inaturalist.org/photos/5503159/medium.jpg,
5652232,alessandrofornaini,casual,,https://www.inaturalist.org/observations/5652232,https://static.inaturalist.org/photos/7006412/medium.jpeg,
5900878,wouterteunissen,casual,,https://www.inaturalist.org/observations/5900878,https://static.inaturalist.org/photos/7357687/medium.jpeg,48460
5900892,wouterteunissen,casual,,https://www.inaturalist.org/observations/5900892,https://static.inaturalist.org/photos/7357685/medium.jpeg,
5908711,wouterteunissen,casual,,https://www.inaturalist.org/observations/5908711,https://static.inaturalist.org/photos/7368854/medium.jpeg,48460
5921896,brandonli,casual,,https://www.inaturalist.org/observations/5921896,https://static.inaturalist.org/photos/7388993/medium.jpeg,
5964959,caroline43,casual,,https://www.inaturalist.org/observations/5964959,https://static.inaturalist.org/photos/7453737/medium.jpeg,
6192983,berenice7,casual,,https://www.inaturalist.org/observations/6192983,https://static.inaturalist.org/photos/7773252/medium.jpeg,
6605715,emoryoak,casual,CC0,https://www.inaturalist.org/observations/6605715,https://static.inaturalist.org/photos/8464050/medium.jpg,
6689824,frans2,casual,,https://www.inaturalist.org/observations/6689824,https://static.inaturalist.org/photos/8482961/medium.jpg,
6997147,rudibudi,casual,CC-BY-NC,https://www.inaturalist.org/observations/6997147,https://inaturalist-open-data.s3.amazonaws.com/photos/8960357/medium.jpeg,
7105472,pieterh,casual,,https://www.inaturalist.org/observations/7105472,https://static.inaturalist.org/photos/9135474/medium.jpg,
7185759,sundriya,casual,CC-BY-NC,https://www.inaturalist.org/observations/7185759,https://inaturalist-open-data.s3.amazonaws.com/photos/9264395/medium.jpeg,
7190614,ria4,casual,,https://www.inaturalist.org/observations/7190614,https://static.inaturalist.org/photos/9270661/medium.jpeg,
7218862,ria4,casual,,https://www.inaturalist.org/observations/7218862,https://static.inaturalist.org/photos/9316854/medium.jpeg,
7260999,davidek2,casual,,https://www.inaturalist.org/observations/7260999,https://static.inaturalist.org/photos/9382960/medium.jpg,
7261662,davidek2,casual,,https://www.inaturalist.org/observations/7261662,https://static.inaturalist.org/photos/9383988/medium.jpg,
7309006,pattisb,casual,,http://inaturalist.ca/observations/7309006,https://static.inaturalist.org/photos/9460941/medium.jpg,
7343951,wouterteunissen,casual,,https://www.inaturalist.org/observations/7343951,https://static.inaturalist.org/photos/9518401/medium.jpeg,48460
7496441,sophiesophie,casual,,https://www.inaturalist.org/observations/7496441,https://static.inaturalist.org/photos/9765252/medium.jpg,
7622029,satriaq,casual,,https://www.inaturalist.org/observations/7622029,https://static.inaturalist.org/photos/9964459/medium.jpg,
7633235,rudibudi,casual,CC-BY-NC,https://www.inaturalist.org/observations/7633235,https://inaturalist-open-data.s3.amazonaws.com/photos/9982865/medium.jpeg,48460
8006489,emmake,casual,,https://www.inaturalist.org/observations/8006489,https://static.inaturalist.org/photos/10594756/medium.jpg,
8442332,karin23,casual,,https://www.inaturalist.org/observations/8442332,https://static.inaturalist.org/photos/11246285/medium.jpg,
8628450,godertvl,casual,CC-BY-NC,https://www.inaturalist.org/observations/8628450,https://inaturalist-open-data.s3.amazonaws.com/photos/11547370/medium.jpeg,
9090621,jeroenv,casual,,https://www.inaturalist.org/observations/9090621,https://static.inaturalist.org/photos/12278455/medium.jpg,
9098462,jeroenv,casual,,https://www.inaturalist.org/observations/9098462,https://static.inaturalist.org/photos/12290102/medium.jpg,
9528043,wouterteunissen,casual,,https://www.inaturalist.org/observations/9528043,https://static.inaturalist.org/photos/12992378/medium.jpg,
9539282,jeroenv,casual,,https://www.inaturalist.org/observations/9539282,https://static.inaturalist.org/photos/13012212/medium.jpg,
9611552,ladybird76,casual,CC-BY-NC,https://www.inaturalist.org/observations/9611552,https://inaturalist-open-data.s3.amazonaws.com/photos/13115561/medium.jpg,
9611560,ladybird76,casual,CC-BY-NC,https://www.inaturalist.org/observations/9611560,https://inaturalist-open-data.s3.amazonaws.com/photos/13115576/medium.jpg,
10163411,ladybird76,casual,CC-BY-NC,https://www.inaturalist.org/observations/10163411,https://inaturalist-open-data.s3.amazonaws.com/photos/14027760/medium.jpg,
10356017,louisluyckx,casual,,https://www.inaturalist.org/observations/10356017,https://static.inaturalist.org/photos/14365016/medium.jpeg,
10356275,simon46,casual,,https://www.inaturalist.org/observations/10356275,https://static.inaturalist.org/photos/14365433/medium.jpeg,
10356434,ericvoets,casual,,https://www.inaturalist.org/observations/10356434,https://static.inaturalist.org/photos/14365695/medium.jpg,
10356440,ericvoets,casual,,https://www.inaturalist.org/observations/10356440,https://static.inaturalist.org/photos/14365716/medium.jpg,
10357080,robsch,casual,,https://www.inaturalist.org/observations/10357080,https://static.inaturalist.org/photos/14366602/medium.jpg,
10357874,willy9,casual,,https://www.inaturalist.org/observations/10357874,https://static.inaturalist.org/photos/14367763/medium.jpg,
10362682,stephanie196,casual,,https://www.inaturalist.org/observations/10362682,https://static.inaturalist.org/photos/14375840/medium.jpg,
10371848,patricia127,casual,,https://www.inaturalist.org/observations/10371848,https://static.inaturalist.org/photos/14392499/medium.jpeg,
10372673,vera15,casual,,https://www.inaturalist.org/observations/10372673,https://static.inaturalist.org/photos/14393918/medium.jpeg,
10373072,geert11,casual,,https://www.inaturalist.org/observations/10373072,https://static.inaturalist.org/photos/14394479/medium.jpg,48460
10373119,frank69,casual,,https://www.inaturalist.org/observations/10373119,https://static.inaturalist.org/photos/14394565/medium.jpeg,
10383791,hanne84,casual,,https://www.inaturalist.org/observations/10383791,https://static.inaturalist.org/photos/14412100/medium.jpg,
10409639,insanebrent,casual,,https://www.inaturalist.org/observations/10409639,https://static.inaturalist.org/photos/14457460/medium.jpeg,
10410474,daniel437,casual,,https://www.inaturalist.org/observations/10410474,https://static.inaturalist.org/photos/14458729/medium.jpeg,
10414253,suzanne66,casual,,https://www.inaturalist.org/observations/10414253,https://static.inaturalist.org/photos/14464761/medium.jpeg,
10415651,marni3,casual,,https://www.inaturalist.org/observations/10415651,https://static.inaturalist.org/photos/14467146/medium.jpeg,
10427968,aquapoint,casual,CC-BY-NC,https://www.inaturalist.org/observations/10427968,https://inaturalist-open-data.s3.amazonaws.com/photos/14488393/medium.jpeg,
10429061,cees,casual,,https://www.inaturalist.org/observations/10429061,https://static.inaturalist.org/photos/14490063/medium.jpeg,
10429412,theo7,casual,,https://www.inaturalist.org/observations/10429412,https://static.inaturalist.org/photos/14490574/medium.jpeg,
10429894,sjang,casual,CC-BY-NC,https://www.inaturalist.org/observations/10429894,https://inaturalist-open-data.s3.amazonaws.com/photos/14491172/medium.jpeg,
10430163,erikpeemen,casual,,https://www.inaturalist.org/observations/10430163,https://static.inaturalist.org/photos/14491727/medium.jpg,
10433512,ingevos,casual,,https://www.inaturalist.org/observations/10433512,https://static.inaturalist.org/photos/14497213/medium.jpeg,
10434228,hansnabben,casual,,https://www.inaturalist.org/observations/10434228,https://static.inaturalist.org/photos/14498340/medium.jpeg,
10446837,pond64,casual,,https://www.inaturalist.org/observations/10446837,https://static.inaturalist.org/photos/14520711/medium.jpeg,
10446905,pond64,casual,,https://www.inaturalist.org/observations/10446905,https://static.inaturalist.org/photos/14520878/medium.jpeg,
10447283,oanavasilache,casual,CC-BY-NC,https://www.inaturalist.org/observations/10447283,https://inaturalist-open-data.s3.amazonaws.com/photos/14521479/medium.jpeg,
10453439,piri9,casual,,https://www.inaturalist.org/observations/10453439,https://static.inaturalist.org/photos/14532902/medium.jpg,
10468145,bokke,casual,CC-BY-NC,https://www.inaturalist.org/observations/10468145,https://inaturalist-open-data.s3.amazonaws.com/photos/14549973/medium.jpeg,
10472865,johnsilooy,casual,CC-BY-NC,https://www.inaturalist.org/observations/10472865,https://inaturalist-open-data.s3.amazonaws.com/photos/14557660/medium.jpg,
10472946,johnsilooy,casual,CC-BY-NC,https://www.inaturalist.org/observations/10472946,https://inaturalist-open-data.s3.amazonaws.com/photos/14557743/medium.jpeg,
10472951,johnsilooy,casual,CC-BY-NC,https://www.inaturalist.org/observations/10472951,https://inaturalist-open-data.s3.amazonaws.com/photos/14557756/medium.jpg,
10508066,martin122,casual,,https://www.inaturalist.org/observations/10508066,https://static.inaturalist.org/photos/14618434/medium.jpg,
10509629,simonevanerp,casual,,https://www.inaturalist.org/observations/10509629,https://static.inaturalist.org/photos/14620964/medium.jpg,
10510136,oscarmonster,casual,,https://www.inaturalist.org/observations/10510136,https://static.inaturalist.org/photos/14621881/medium.jpeg,
10543473,marcokootstra,casual,,https://www.inaturalist.org/observations/10543473,https://static.inaturalist.org/photos/14681954/medium.jpeg,
10590458,thijs5,casual,,https://www.inaturalist.org/observations/10590458,https://static.inaturalist.org/photos/14763844/medium.jpeg,
10590970,danielecannatella,casual,,https://www.inaturalist.org/observations/10590970,https://static.inaturalist.org/photos/14764484/medium.jpeg,
10609774,eirini,casual,,https://www.inaturalist.org/observations/10609774,https://static.inaturalist.org/photos/14796267/medium.jpeg,
10675141,petervissers,casual,,https://www.inaturalist.org/observations/10675141,https://static.inaturalist.org/photos/14903561/medium.jpeg,
10680842,dagoberto,casual,,https://www.inaturalist.org/observations/10680842,https://static.inaturalist.org/photos/14912606/medium.jpeg,
10680850,dagoberto,casual,,https://www.inaturalist.org/observations/10680850,https://static.inaturalist.org/photos/14912624/medium.jpeg,
10710099,evelina,casual,,https://www.inaturalist.org/observations/10710099,https://static.inaturalist.org/photos/14960108/medium.jpg,
10714442,jeremy-ams,casual,,https://www.inaturalist.org/observations/10714442,https://static.inaturalist.org/photos/14967359/medium.png,
10722520,daandegroot,casual,,https://www.inaturalist.org/observations/10722520,https://static.inaturalist.org/photos/14988482/medium.jpg,
10751338,ike4,casual,,https://www.inaturalist.org/observations/10751338,https://static.inaturalist.org/photos/15029557/medium.jpeg,
10857607,sandra144,casual,,https://www.inaturalist.org/observations/10857607,https://static.inaturalist.org/photos/15232879/medium.jpeg,
10901015,xavier37,casual,,https://www.inaturalist.org/observations/10901015,https://static.inaturalist.org/photos/15321376/medium.jpeg,
11005097,valentijnstr,casual,,https://www.inaturalist.org/observations/11005097,https://static.inaturalist.org/photos/15510248/medium.jpg,
11014851,myrthe2,casual,,https://www.inaturalist.org/observations/11014851,https://static.inaturalist.org/photos/15532139/medium.jpeg,
11235876,marni3,casual,,https://www.inaturalist.org/observations/11235876,https://static.inaturalist.org/photos/15947642/medium.jpeg,
11263741,bieske5,casual,CC-BY-NC,https://www.inaturalist.org/observations/11263741,https://inaturalist-open-data.s3.amazonaws.com/photos/16007875/medium.jpeg,
